text,size
(ISC)²,3
University of Pennsylvania,59
Johns Hopkins University,28
Yale University,17
Indian School of Business,4
University at Buffalo,4
deeplearning.ai,16
IBM,22
Amazon Web Services,6
University of Toronto,11
"University of California, Irvine",27
University of Illinois at Urbana-Champaign,22
University of Michigan,41
Yale University,17
Universidad Nacional Autónoma de México,14
University of Colorado Boulder,19
National Research University Higher School of Economics,7
Google Cloud,34
Erasmus University Rotterdam,5
Duke University,28
University of Virginia,19
Atlassian,2
ScrumTrek,1
University of California San Diego,8
Stanford University,16
University of Colorado System,13
Copenhagen Business School,5
Macquarie University,9
Vanderbilt University,3
The University of Edinburgh,8
Technical University of Denmark (DTU),2
Universidad Nacional Autónoma de México,14
University of California San Diego,9
Arizona State University,7
The Museum of Modern Art,6
National Arts Strategies,1
The University of Edinburgh,8
"University of California, Davis",21
Autodesk,4
National Taiwan University,1
University of Amsterdam,6
"University of California, Santa Cruz",4
Google - Spectrum Sharing,1
Michigan State University,10
University of Colorado System,13
Case Western Reserve University,3
University of Cape Town,3
Emory University,5
INSEAD,3
London Business School,1
Arizona State University,7
HEC Paris,6
University of Colorado Boulder,19
University of Colorado System,13
University of Toronto,11
